,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
115,0.64,17.93,1510000000.0,3.83,40.37,2013-05-12 05:08:18,-29.56846928646791,2.88,16.49,94.60,30800000000.0,16.49,5.20,19.12,5030000000.0,0.16,88.20,30800000000.0,1140000000.0,28.58,1.57,104.0,5.75,5.19,14.90,11.79,21.16,5.20,8.30,19.73,1626.670044,494000.00000000006,1.70,4.20,underperform,agn,2250000000.0,7.59,2160000000.0,36.17,1368349698.0,55.86654620954483,26.29807692307692
116,0.95,5.62,31725000.0,2.35,397.17,2013-05-14 20:29:12,-86.67410422012915,0.70,17.56,202.30,10050000000.0,17.56,9.99,14.88,61896000.0,0.97,102.70,10050000000.0,8136000.0,22.95,1.51,32.0,5.73,4.67,13.56,2.19,0.71,9.99,3.70,7.15,1650.339966,555000.0,5.10,5.40,underperform,aiv,4956000.0,0.34,4720000000.0,47.09,1368577752.0,59.64285422012916,-27.031249999999996
117,0.87,65.92,67970000.0,0.68,20.58,2013-04-22 18:49:03,-2.9902817989360244,5.67,3.75,84.30,3530000000.0,3.75,0.42,8.07,2220000000.0,0.80,96.60,3530000000.0,48370000.0,9.62,0.83,46.0,0.71,0.43,5.69,1.83,9.62,0.42,2.50,100.96,1562.5,351000.0,4.50,3.80,underperform,aiz,1210000000.0,15.36,1070000000.0000001,8.24,1366670943.0,32.2728904945882,29.282608695652172
118,1.58,36.85,21280000000.0,0.51,30.87,2011-05-05 15:24:18,-66.47948156741069,2.45,8.83,332.50,21280000000.0,8.83,0.67,8.93,8830000000.0,0.08,72.00,21280000000.0,1330000000.0,6.79,1.11,33.0,0.92,0.56,4.18,1.03,7.19,0.67,4.50,59.05,1335.099976,748000.0,1.50,1.90,underperform,all,2630000000.0,5.03,5970000000.0,13.71,1304623458.0,20.267360355289473,-46.21212121212121
119,1.60,36.85,19020000000.0,0.51,30.87,2011-07-14 00:16:09,-84.28384347088536,2.45,7.89,332.50,19020000000.0,7.89,0.60,7.90,8830000000.0,0.08,72.00,19020000000.0,1330000000.0,6.79,2.76,29.0,0.81,0.49,4.18,1.03,7.19,0.60,4.50,59.05,1308.869995,728000.0,1.40,1.80,underperform,all,2630000000.0,5.03,5970000000.0,12.17,1310616969.0,17.90453312605777,-66.37931034482759
120,1.22,37.27,1930000000.0,0.71,33.86,2012-03-11 04:48:46,-78.68792754379429,1.51,12.48,144.60,20040000000.0,12.48,0.61,7.84,9090000000.0,0.07,77.20,20040000000.0,78800000.0,4.24,0.95,31.0,0.84,0.48,2.41,0.68,4.18,0.61,1.80,62.71,1365.910034,850000.0,1.70,1.70,underperform,all,2069999999.9999998,4.15,6330000000.0,20.97,1331455726.0,23.042766253471715,-55.64516129032258
121,1.01,44.06,2990000000.0,0.57,31.80,2013-05-09 08:24:15,-45.001719324032116,4.61,6.61,7.40,25350000000.0,6.61,0.76,9.63,11700000000.0,0.11,77.00,25350000000.0,2250000000.0,10.86,1.12,49.0,1.13,0.70,6.73,1.80,11.29,0.76,1.20,69.10,1626.670044,976000.0,2.20,3.10,underperform,all,3990000000.0,8.52,6560000000.0,10.79,1368102255.0,46.532331568930076,1.530612244897959
122,2.239,3.006,32043000.0,3.203,3.203,2004-06-22 11:22:40,0.0,0.472,23.02,70.00,6470000000.0,23.02,7.39,23.65,56133000.00000001,2.07,84.97,7520000000.0,18376000.0,27.01,1.49,20.1,6.69,8.60,21.00,12.31,16.06,7.39,16.20,2.249,1134.410034,1169000.0,3.19,1.526,underperform,altr,1050000000.0,2.82,3.203,42.58,1087917760.0,0.0,0.0
123,2.272,3.05,31450000.0,3.044,3.044,2004-09-17 01:25:17,-2.5603563308288715,0.577,20.17,70.00,6490000000.0,20.17,6.91,23.49,56133000.00000001,2.06,84.80,7250000000.0,22297000.0,29.90,1.35,19.5,6.36,7.69,23.75,14.57,19.54,6.91,16.20,2.426,1128.550049,1282000.0,3.52,1.754,underperform,altr,1080000000.0,2.9,3.044,33.80,1095398717.0,-0.5165667460942127,-3.076923076923084
124,2.287,3.05,31450000.0,3.044,3.044,2004-10-13 13:42:20,0.2635793068181562,0.577,19.52,70.00,6280000000.0,19.52,6.69,24.74,56133000.00000001,2.06,84.82,7360000000.0,22297000.0,29.90,1.42,19.79,6.49,7.84,23.75,14.57,19.54,6.69,16.20,2.426,1113.650024,1672000.0,4.59,2.173,outperform,altr,1080000000.0,2.9,3.044,34.30,1097689340.0,-1.8300270076771874,-1.5664477008590312
125,2.313,3.232,32704000.000000004,3.22,3.22,2004-12-09 07:30:24,4.626113988539538,0.684,21.19,70.00,7280000000.0,21.19,7.32,30.83,56133000.00000001,2.07,86.91,8260000000.0,26229000.000000004,30.84,1.72,22.2,7.00,8.48,26.39,16.70,22.87,7.32,16.20,2.587,1189.23999,1778000.0,4.88,2.171,outperform,altr,1150000000.0,3.09,3.22,32.46,1102595424.0,4.833345470919912,9.45945945945945
